Nama Pelanggan,Produk,Ulasan,Rating
tomi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahan celananya bagus, beliin buat si kaka pas ukurannya",5
P***u,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitas bagus.,5
Isna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas,5
F***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bumil approved👍,5
R***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas,5
E***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya terlalu besar,5
Andre,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
Putri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kain lumayan tipis,4
Andrea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas. L. tinggi 152 berat 52. udah order kedua kalinya karena suka banget. terimakasii,5
Martin,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Tidak ada ulasan,3
Andrea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas Berat badan 50 - 60 kg,5
Antonius,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas,5
Y***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","BB saya 57kg, TB 163 cm, Lingkar pinggang 80. Pas ukuran M, tapi pendek memang; lebih panjang dikit dari CD model boxer. Bahannya tipis. Untuk sehari-hari okelah.",5
K***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan adem,5
Amanda,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya adem, bagus banget, sesuai foto",5
mice,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bagus , sesuai diskripsi, ukuran sesuai dan pas, enak adem dipakai. mksh",5
Widia,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus model dan bahan,5
Piedepoy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ademmmm bangettt,5
Asep,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","mantap sdh di terima , keren",5
Lestari,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",cocok buat pacar saya makin semoggg,5
Matius,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",good,5
