Nama Pelanggan,Produk,Ulasan,Rating
Tsasha,"Hanafe Crop Top Hana Fashion - Light Grey, M",Duh bagusnyaa… ❤️,5
Lenny,"Hanafe Crop Top Hana Fashion - Light Grey, M","Udah langganan beli di hana fashion,, bagus bahan nya adem dan tidak murahan,, klo bisa banyakin disc nya lagi",5
Wisnu,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga bagus jadi gombal,1
c***o,"Hanafe Crop Top Hana Fashion - Light Grey, M","pengiriman cepat, produk sesuai harga. bagus untuk baju santai atau keluar",5
sri,"Hanafe Crop Top Hana Fashion - Light Grey, M","kurang rapi jaitannya, sesuai sama harga si
tp beda kalo di poto sama real nya",4
A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Sesuai harga,4
Wanda,"Hanafe Crop Top Hana Fashion - Light Grey, M","Packing rapi, kali ini cepat prosesnya. bahan baju adem bgt, tp gak tipis, pdhl sy beli warna putih, gak nerawang, mantap sih, jahitan rapi, emang cari yg besar makanya b...",5
G***o,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai dengan harganya,5
Veronika,"Hanafe Crop Top Hana Fashion - Light Grey, M",ukuran sesuai deskripsi.bahan okee adem. harga murah.model update,5
A***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",kata pacarku bahannya enak tapi saya gak tau soalnya gak ikut nyobain .,5
C***s,"Hanafe Crop Top Hana Fashion - Light Grey, M",Tidak ada ulasan,1
Hariyo,"Hanafe Crop Top Hana Fashion - Light Grey, M",kualitas sesuai harga.,4
Mama,"Hanafe Crop Top Hana Fashion - Light Grey, M","Bahan strech banget, suka sih. tipis kainnya tp bagus sih aku pake buat wo di rumah.
beratku 55, nyoba beli sz S, enak dipakenya.",5
Jennifer,"Hanafe Crop Top Hana Fashion - Light Grey, M",TB 168cm BB 48kg size M,5
fajar,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan halus dan fit badan, mantab",5
munie,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahannya enak di badan.. pembelian ke 2 ..,5
Chandra,"Hanafe Crop Top Hana Fashion - Light Grey, M",oke,4
M***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","ukuran pas, ini dah baju ke 4 yg kubeli tapi kainnya beda sama 3 lainnya yg ini agak tipis dan keliatan melar banget",5
Maurice,"Hanafe Crop Top Hana Fashion - Light Grey, M",Barang sudah di terima dengan baik,5
A***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Terima kasih barang bagus,5
d***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","bagus, kain agak tipis dan ngepress di badan tapi oke banget👍",5
V***y,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pesqnan sesuai, lumayan buat baju rumah/ke pasar, cut kurang rapi tp ya sesuai harga kok..",5
A***e,"Hanafe Crop Top Hana Fashion - Light Grey, M","ukuran pas, tb 160 bb 57 pakai XL, dipakai bagus. kelihatan langsing. cuma bahannya kurang halus.",5
H***l,"Hanafe Crop Top Hana Fashion - Light Grey, M",pass,5
SABRINA,"Hanafe Crop Top Hana Fashion - Light Grey, M",bahan ringan & sukses kurir & tokped 🙏😇👍,5
K***i,"Hanafe Crop Top Hana Fashion - Light Grey, M",size M nya kecil .. bnget,5
Jessie,"Hanafe Crop Top Hana Fashion - Light Grey, M",Respond seller ok,4
Antonius,"Hanafe Crop Top Hana Fashion - Light Grey, M","Terima kasih Kak, sudah sampai barangnya sesuai dengan pesanan. Sukses selalu Kak.",5
Reza,"Hanafe Crop Top Hana Fashion - Light Grey, M","bahan nyaman, potongan pas. tapi agak terlalu tipis",4
Rika,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai pesanan bagus bgt bajux,5
Indri,"Hanafe Crop Top Hana Fashion - Light Grey, M","sesuai dgn deskripsi, jaitannya rapi, pas di pakai sesuai bentuk tubuh. tks 🙏🏻",5
M***A,"Hanafe Crop Top Hana Fashion - Light Grey, M",suka banget. bahan super adem. pas buat inner .thanks kak,5
Vani,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai dengan harga. kekecilan sih.,5
b***a,"Hanafe Crop Top Hana Fashion - Light Grey, M",Pengiriman cepat dan ukurannya aku kira kekecilan karna s ternyata pas banget❤️,5
I***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Sesuai sm gmbr, gk sempit aga longgar",5
Monalisa,"Hanafe Crop Top Hana Fashion - Light Grey, M",Lembut bahannya,5
K***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","Kaos nya lumayan dipake baguss
Seller fast response 
Makasih ya",5
Amanda,"Hanafe Crop Top Hana Fashion - Light Grey, M",sesuai,5
Sarah,"Hanafe Crop Top Hana Fashion - Light Grey, M",ga pernah kecewa beli disini,5
R***i,"Hanafe Crop Top Hana Fashion - Light Grey, M","Pengiriman cepat, kualitas sesuai harga",4
R***u,"Hanafe Crop Top Hana Fashion - Light Grey, M",Bagus banget and nyaman di pake,5
salmaa,"Hanafe Crop Top Hana Fashion - Light Grey, M",Enakkk bgtttt apalagi dipke buat olahragaa,5
Wilda,"Hanafe Crop Top Hana Fashion - Light Grey, M",bagussss,5
park,"Hanafe Crop Top Hana Fashion - Light Grey, M",putiny sedikit biru,5
Y***a,"Hanafe Crop Top Hana Fashion - Light Grey, M","ini baju kalo buat dirumah aja enak bgt sih, adem dan nyaman bahannya. kalo untuk dipake keluar sih kayaknya kureng ya, bahannya cukup tipis soalnya. perbanyak variasi wa...",5
Alvin,"Hanafe Crop Top Hana Fashion - Light Grey, M",barang bagus dan sesuai,5
Putri,"Hanafe Crop Top Hana Fashion - Light Grey, M",next size L soalny yg M kependekan,5
A***A,"Hanafe Crop Top Hana Fashion - Light Grey, M","Barang pesenan udah sampé dengan aman sesuai orderan.. Suka... 🌹🌹❤️ Ukurannya S & M, tapi tetep pas koq di badan..👍🏼👍🏼",5
