Nama Pelanggan,Produk,Ulasan,Rating
G***g,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan bagus, ukuran cocok. joz lah",5
G***g,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bahan bagus, ukuran cocok. joz lah",5
R***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bjnya bgs dan pas,4
Dewi,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Ukuran sesuai. Beli size L utk LD 82 TB 152 Bb 50. Tidak ketat dan tdk kesempitan/kebesaran. Bahan bagus dan nyaman.,5
A***f,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bagus,5
Ita,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Bagus.. sesuai expectasi,5
W***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","bajunya bagus banget 🥺❤️adminnya ramah, fastresp dan lgsg ngeinfoiin kl ada barang yg kosong, pengirimannya jg cepett",5
Lie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",Tidak ada ulasan,4
taswania,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","paket sudah diterima dengan baik, terimakasih dan sukses selalu 
hasil nya memuaskan",5
erna,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","kainnya bahannya adem, enak pakai",5
M***a,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","enak si bhnna adem, jaitanna rapi, tp dbdn kyk krg pas jatona",4
DIAH,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",keren,5
Edo,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL",bagus lah sesuai,5
Angie,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","sayang bgt kekecilan, pdhl di picture keliatan pas dan sesuai badan",3
Tunginah,"HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177 - Khaky, XXL","ukuran pas... proses cepat barang cepet sampenya, next mau order lagi😊",5
