Nama Pelanggan,Produk,Ulasan,Rating
Sundari,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",.,3
J***e,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",Tidak ada ulasan,5
Karlina,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","bahannya adem, enak dipakai",5
Aryani,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","halooo kak, brg udah sampe, cpt & sesuai yg sy inginkan, maaf g sempet video, lgs di cuci krn mau dipakai cardigan nya, thank you",5
reni,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",di BB 77 ( keadaan hamil) ukuran XXL nyaman bgt,5
c***o,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","entah kenapa cuttingnya agak aneh. tapi celananya nyaman dipakai, bahan juga oke. cocok utk celana tidur",4
Ismi,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",karetnya gampang banget melar,4
Agus,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",bahannya bagus rapih jahitannya,5
Isnugraika,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","jahitan rapi, pelayanan toko baik",5
A***a,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",Gede bgt,3
Sayu,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","bahannya sesuai deskripsi, cutting nya sedikit diperhatikan lagi ya. Overall good.",5
P***y,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",warnanya bagus dan pesanannya lancar dan sesuai. Terima kasih banyak seller,5
B***t,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",biar bintang yang bicara,5
Ina,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","Barang bagus,bahan halus
sesuai dgn foto
terima kasih 🙏☺️",5
F***y,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","Ukuran sesuai deskripsi, jahitan bagus, bahannya nyaman, seller ramah sekali, pengiriman cepat, mantap👍👍",5
A***a,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",c,5
Titan,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",Bagusss,5
rio,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S",lucu,5
N***y,"HanaFashion - Charlotte Short Pants Celana Pendek Wanita - SP050 - Purple, S","cocok memang buat celana santai di rumah, type bahan tipis dan ringan.",5
