Nama Pelanggan,Produk,Ulasan,Rating
Agus,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",ok bngt,5
Richard,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",Ukurannya pas,5
Hadi,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",Ukurannya pas,5
Taufik,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",produk bagus dan sesuai dengan gambar.Pengiriman cepat.tks.,5
Wenni,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",Ukurannya pas,4
Amaranti,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL","Barang bagus dengan harga bersahabat, pelayanan ramah dan cepat",5
R***a,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",Ukurannya pas,5
Ita,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",lumayan. sesuai harga,4
M***a,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",tipis dan nerawang iya sesuai hargalah,4
A***L,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",Proses cepat & kualitas ok,5
Creditian,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL","Barangnya bagus cuma layanan aga nyebelin cuma mau batalin pesanan ganti ukuran dari S ke M ga bisa, toko lain ga pernah ada masalah. Untungnya barang lumayan melar jadi...",4
D***e,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",terbaikkk,5
michele,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL","wajib naikin 1 size dr normal y , sesuaiiii",5
Rendy,"HanaFashion - Calista Tube Crop Top Kemben Pendek Wanita - TT068 - Khaky, XXL",terimakasih produknya sesuai deskripsi,5
