Nama Pelanggan,Produk,Ulasan,Rating
I***m,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",Tidak ada ulasan,1
Hartika,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",barang asli dan gambar nya tidak sama,2
Thathoes,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",Tidak ada ulasan,2
E***a,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L","tipis banget dan size L nya kecil , tidak sesuai chart deskripsi, L seperti size S",3
fajar,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",keciiill banget woi jualan yang jujur napa lu,1
N***a,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L","beda kaya di fotoo, aslinya terlalu crop bgt",3
Jeslinagela,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",Bahan tipis banget..,3
D***a,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",kurang nyaman,2
A***h,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",ternyata kainnya senerawang itu,3
Lukman,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",yg dikirim miniset bukan tanktop.. kecewa,1
A***y,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",kwkwkwkw ga ssuai ama yg d foto..,1
Winsa,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L","bahannya spandex, gerah bgt",3
Indri,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",saya pesen tanktop yg datang malah baju begini tidak sesuai sangat sangat tidak sesuai dan tidak ada konfirmasi dari pihak penjual pakek ada uang 2000 segala buat apa?? s...,3
lorenza,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",dari semua pesenam barangnya oke cuma ini yg agak kurang. terlalu kecil jadi seperti miniset. ngak sesuai gambar di pakai,2
lorenza,"HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035 - White, L",dari semua pesenam barangnya oke cuma ini yg agak kurang. terlalu kecil jadi seperti miniset. ngak sesuai gambar di pakai,2
