Nama Pelanggan,Produk,Ulasan,Rating
Waskito,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Kualitas tank top bagus, kain lembut, toko ramah & fast respon. Recomanded beli lagi jika pingin varian warna. Istri saya jadi semangat senam BL. Terima kasih, kak 😊...",5
c***o,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","produk bagus dan worth it untuk harga segitu. pengiriman juga cepat. mungkin minusnya krn talinya, mau yg XL atau XXL masih kepanjangan, padahal bagian tanktopnya pas bgt",4
E***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",mantap,5
W***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Bahan tebal, jahitan rapi, proses cepat packing rapi. bagian tali terbuat dr bahan seperti karet rambut dgn diameter 3mm, enak dipakai, semoga tali nya gak gampang melar....",5
Maria,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Tidak ada ulasan,4
j***s,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bagus cm gk gt ngaret bngt ya.,5
Priscillia,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Buat yang suka pressed, ukuran S ini bisa jadi daleman pengganti bra atau jadi kemben sih mnrt gue. Krn bahan tidak panas, semi kaos. Jahitan pun rapih. Kayanya gue akan...",5
A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Ukuran pas barang ok,5
H***y,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","udah sering beli hana di berbagai platform online shop, bagus bahannya, sesuai ekspektasi, keren pokoknya, pertahankan ya kualitasnya soalnya aku udah percaya",5
A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bahan adem,5
Veronika,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Tidak ada ulasan,5
Fenny,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Kainnya bagus ya
Gak murahan",5
T***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ta,5
Nanang,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ukuran pas sesuai deskripsi..nyaman waktu di pakai..dan paling penting harga nya pas di kantong,5
F***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",good,5
mariana,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Tidak ada ulasan,5
N***P,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Mantap,5
Q***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bahan tanktopnya bagus, adem. recomended karna aku beli paket bubbling sama outernya. harga terjangkau",5
Oktapynti,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Tidak ada ulasan,5
A***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Ok barangnya sesuai pesanan,5
alfie,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","barang sesuai cmn untuk ukuran L, kecil bgt, its ok",4
V***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bagus siiihh, gak ngepress bgt di badan. mungkin harusnya pilih L kali ya. minus tali kepanjangan sama bagian ketiak kanan udah agak belel gitu kaya pernah dipake, jdnya...",4
C***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahan bagus dan ga menurutku ga nerawang asal dalemannya jangan yang terang2 trus talinya warna putih juga jadi bagus,5
i***h,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Ngepas banget di badan ku dengan BB 53,5
maybe next time aku pesan yg size L kali ya.. ku kira badan ku kecil aja 🤣 ternyata gendutan.. tp syukurlah kainnya melar jadi o...",5
Y***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bagus,4
puti,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bagus bahan tebell,5
H***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bb 50 tb 160 ld 88 pke xl pas sih, cuman pesen warna putih kalo braless nrawang ya, tapi bahannya adem pol lebih bgus dripada yg varian cherish krna licin. overall oke.",5
R***w,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Deres banget mantap kaka,5
Dian,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",MANTAAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaap,5
Kadek,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bagus sih cuma sayang bgt sizenya spt size anak-anak dan tidak strech jg bahannya..,4
Riantina,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ini bagus dan adem,5
A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",trmks,4
Abinas,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",👍,4
H***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bahan agak panas,3
Maheswari,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","barang udh smpe ya kak, Sesuai dengan pesanan, real picture, mksh Kaka",5
Novi,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","fast respon seller,pengiriman cepat,brgnya berkualitas",5
S***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bagus dan pas badan juga,5
V***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","sy dichat untuk naikin rating, ngeganggu",4
Desty,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahannya adem. Tidak menerawang. Jahitannya rapi. Enak dipakai ✨.,5
Agatha,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",kecil bet pdhl xl,5
M***M,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",request dari penjual,4
Dhika,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahannya adem. Enak dipakai ✨.,5
M***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","pelayanan bgs, barang cpt sampai dan bahan kerenn, sukses selalu",5
Shana,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",recommended pokoknya..,5
A***s,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",mintiib,5
kekey,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ambil size S ternyata kekecilan pdhl badan gw itu kecil dan kurus.. kemarin mau ambil size yg M tapi takut kegedean.. bahan nya gak melar jadi pas di pake sakit di bagian...,5
T***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",produk sesuai,4
Shintia,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","selalu puas belanja di toko ini bahan nya bagus
mau request aja ni untuk yang LD nya 120 mending ukuran XL aja pas jangan XXL pasti ke gedean",5
sandy,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bahanya elastis, ringan, nyerap keringat, ga panas dan barang sesuai",5
jefri,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ok,5
Zahra,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bagus,5
L***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","belum coba dan lagi dicuci, semoga cocok dan awet ya 😊 kalo bagus pasti langganan kok hehehe",4
C***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bagus, bahannya enak di pake nggak gatel. cuma talinya kepanjangan tapi masih bisa di jahit.
 pengiriman cepat, mantap 👍👍",5
N***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",lama sik prosesnya.. tapi ya udalah yaa.. cz pas nyampe lega aja barangnya bagus,5
Monica,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","lebih kayak bralette drpd crop tank, tp okelah pas banget ukurannya. buat yg lain mending size naikin 1",5
S***o,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",barang ok,4
I***m,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",terimakasih,4
P***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","ukurannya pas, bahannya enak. nyesel cuma beli satu 🤣",5
A***d,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Tidak ada ulasan,1
Yeowoo,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","nyaman, kalo bisa adain ukuran xs dong.. k",5
Ananda,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",walaupun barang habis dan ga jadi dikirim seller tetap responsif dan tanggap bencana,4
Shintia,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",suka aku BB 85 apa 90 gitu muat bahan nya bagus tebel 🥰😘😘😘😘😘,5
Yusa,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Pengiriman lama, order tanggal 5 dikirim tanggal 11🤦🏻",4
Cut,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Cakep jahitan rapi,5
Rizky,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","puas sama barangnya ,tingkatkan terus ya.",5
Veronika,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",barang realpict dan bahannya vagus cuma utk diproses sangat lama sampe berhari2,5
F***l,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",proses pengiriman cepat. makasih yaa,5
Muhammad,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",.,5
R***e,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",kualitas selalu bagus.  selalu fast respon..  thankyouuu.,5
L***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Bahannya lembut, adem, dan ga nerawang walaupun warna putih. Ekspetasi saya itu tank topnya bakalan melar ternyata ga jd waktu pake dan lepas lumayan butuh effort karna t...",5
Julie,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Kecil parah kaya baju anak TK 🥲🥲,4
Fadilla,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Pengiriman cepat, bahan kaos selapis gitu. Jahitan rapi, engga stretch ygy",5
Aura,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Baguss👍🏻👍🏻👍🏻,5
m***n,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",baguuus,5
F***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Barang nya oke, cuma proses buat masuk kirimnya agak lama",4
L***l,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",👍,4
Desi,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Bahan bagus dengan harga yang murah, kerennnnn👍👍👍",5
Erin,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bahannya bagus nyaman juga,",5
Silfa,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",oke mantap,5
G***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ukuran L di tb 163cm bb 63kg kirain bakal agak kebesaran dikit ternyata ngepas wkwk tapi bagusss ✨ thank u seller,5
Farida,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",bahan bagus dan ukuran pas utk LD 92. cuma ternyata cropnya pendek bgt 😁,5
A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Bahannya bagus bgt tebel, gak nerawang, nyaman!",5
L***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",warna olivenya bagus,5
Yos,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",ok,5
Yulianita,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Harus beli 1 ukuran dari yg biasa dipakai..,5
D***i,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Ternyata size s nya itu bnr” kecil kirain bs muat ternyata kaga 😂 next order size m,5
sarah,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bagus sekali,5
N***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Modelnya kekinian 😍.,5
A***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Sayang bajunya gak dikirim padahal dulu beli tanktop ini karena salah ukuran, suka banget sama tanktopnya",4
L***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Bahannya adem. Modelnya kekinian 😍. Tidak menerawang. Bahan menyerap keringat. Jahitannya rapi. Enak dipakai ✨.,5
Warniti,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","Warnanya cantik 💚. Enak dipakai ✨. Yg terpenting resellernya amanah. terimakasih ini orderan kedua saya, semoga semakin maju",5
Regi,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","good seksi banget buat istriii,Enak dipakai ✨. Warnanya cantik 💚 cuma kayanya talinya gak akan bertahan lama, tapi semoga awet ❤️",5
Warniti,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Modelnya kekinian 😍. Bahannya adem. Enak dipakai ✨. suka bgt 😊,5
n***a,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S",Modelnya kekinian 😍.,5
Connie,"HanaFashion - Kendall Crop Tank Top Wanita - TT114 - Royal Blue, S","bhn ok, jahitan rapi, ga tipis.
ini ukuran kecil, jd hrs benar2 lihat spek nya.

respon seller bgs & pengiriman cpt.",5
